consequence_class,var_type,length_bin,n,dv_concordant,dv_discordant,fv_concordant,fv_discordant,dv_upper95
inframe_insertion,ins,+11..50,425,425,0,425,0,8.64e-03
3_prime_UTR_variant&NMD_transcript_variant,mnv,0,420,420,0,420,0,8.74e-03
5_prime_UTR_variant&splice_region_variant,snv,0,419,419,0,419,0,8.77e-03
NMD_transcript_variant&frameshift_variant,del,-4..10,419,419,0,419,0,8.77e-03
non_coding_transcript_exon_variant,del,-4..10,418,418,0,418,0,8.79e-03
intron_variant&splice_polypyrimidine_tract_variant,del,-2,416,416,0,400,16,8.83e-03
upstream_gene_variant,ins,+4..10,402,402,0,402,0,9.13e-03
NMD_transcript_variant&inframe_deletion,del,-3,399,399,0,399,0,9.20e-03
intron_variant&non_coding_transcript_variant,ins,+4..10,372,372,0,372,0,9.87e-03
frameshift_variant&splice_region_variant,del,-1,367,367,0,367,0,1.00e-02
downstream_gene_variant,del,->50,356,356,0,356,0,1.03e-02
upstream_gene_variant,mnv,0,334,334,0,334,0,1.10e-02
intron_variant&non_coding_transcript_variant&splice_donor_5th_base_variant,snv,0,319,319,0,319,0,1.15e-02
3_prime_UTR_variant&NMD_transcript_variant,del,-11..50,315,315,0,314,1,1.16e-02
NMD_transcript_variant&intron_variant,del,-3,315,315,0,315,0,1.16e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,del,-4..10,306,306,0,250,56,1.20e-02
3_prime_UTR_variant&NMD_transcript_variant,ins,+4..10,294,294,0,294,0,1.25e-02
downstream_gene_variant,ins,+3,291,291,0,291,0,1.26e-02
intron_variant&non_coding_transcript_variant,del,-3,287,287,0,287,0,1.28e-02
intron_variant&splice_region_variant,ins,+1,286,286,0,31,255,1.28e-02
frameshift_variant,ins,+11..50,281,281,0,281,0,1.30e-02
splice_donor_variant,del,-1,273,273,0,273,0,1.34e-02
coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,267,267,0,0,267,1.37e-02
non_coding_transcript_exon_variant,ins,+4..10,265,265,0,265,0,1.38e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-1,254,254,0,254,0,1.44e-02
upstream_gene_variant,ins,+11..50,248,248,0,248,0,1.48e-02
intron_variant&splice_polypyrimidine_tract_variant,del,-3,244,244,0,170,74,1.50e-02
intron_variant&splice_donor_5th_base_variant,del,-4..10,242,242,0,24,218,1.51e-02
stop_lost,snv,0,238,238,0,238,0,1.54e-02
NMD_transcript_variant&missense_variant,mnv,0,233,233,0,184,49,1.57e-02
non_coding_transcript_exon_variant,mnv,0,226,226,0,226,0,1.62e-02
