consequence_class,var_type,length_bin,n,dv_concordant,dv_discordant,fv_concordant,fv_discordant,dv_upper95
NMD_transcript_variant&inframe_deletion&splice_region_variant,del,-4..10,1,1,0,0,1,9.75e-01
5_prime_UTR_variant&coding_sequence_variant&splice_donor_variant,del,->50,1,1,0,0,1,9.75e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_donor_region_variant&splice_donor_variant,del,-11..50,1,1,0,0,1,9.75e-01
frameshift_variant&start_lost,del,-4..10,1,1,0,0,1,9.75e-01
5_prime_UTR_variant&coding_sequence_variant,del,-4..10,1,1,0,0,1,9.75e-01
intron_variant&splice_region_variant,ins,+11..50,1,1,0,1,0,9.75e-01
intron_variant&splice_donor_region_variant,ins,+11..50,1,1,0,1,0,9.75e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,ins,+3,1,1,0,1,0,9.75e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_donor_variant,ins,+2,1,1,0,0,1,9.75e-01
intron_variant&non_coding_transcript_variant&splice_region_variant,ins,+2,1,1,0,1,0,9.75e-01
intron_variant&non_coding_transcript_exon_variant&splice_acceptor_variant,ins,+2,1,1,0,0,1,9.75e-01
NMD_transcript_variant&frameshift_variant&stop_lost,del,-11..50,1,1,0,0,1,9.75e-01
intron_variant&non_coding_transcript_exon_variant&splice_donor_region_variant&splice_donor_variant,del,-11..50,1,1,0,0,1,9.75e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-3,1,1,0,0,1,9.75e-01
3_prime_UTR_variant&stop_lost,del,-4..10,1,1,0,0,1,9.75e-01
NMD_transcript_variant&intron_variant&splice_region_variant,ins,+2,1,1,0,1,0,9.75e-01
3_prime_UTR_variant&splice_acceptor_variant,del,-4..10,1,1,0,1,0,9.75e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,ins,+>50,1,1,0,1,0,9.75e-01
non_coding_transcript_variant&splice_donor_variant,del,-2,1,1,0,1,0,9.75e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,->50,1,1,0,0,1,9.75e-01
5_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,1,1,0,0,1,9.75e-01
start_lost,mnv,0,1,1,0,1,0,9.75e-01
non_coding_transcript_variant&splice_region_variant,ins,+11..50,1,1,0,0,1,9.75e-01
5_prime_UTR_variant&NMD_transcript_variant&coding_sequence_variant,ins,+4..10,1,1,0,0,1,9.75e-01
NMD_transcript_variant&coding_sequence_variant&splice_donor_variant,del,-4..10,1,1,0,0,1,9.75e-01
intron_variant&non_coding_transcript_variant&splice_region_variant,del,-11..50,1,1,0,1,0,9.75e-01
3_prime_UTR_variant&5_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_donor_variant&stop_retained_variant,del,->50,1,1,0,0,1,9.75e-01
5_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-4..10,1,1,0,0,1,9.75e-01
intron_variant&non_coding_transcript_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-11..50,1,1,0,0,1,9.75e-01
5_prime_UTR_variant&NMD_transcript_variant,ins,+4..10,1,1,0,1,0,9.75e-01
NMD_transcript_variant&splice_region_variant&stop_lost,snv,0,1,1,0,1,0,9.75e-01
non_coding_transcript_variant&splice_acceptor_variant,ins,+1,1,1,0,1,0,9.75e-01
3_prime_UTR_variant&5_prime_UTR_variant&intron_variant&splice_acceptor_variant&stop_retained_variant,del,->50,1,1,0,0,1,9.75e-01
5_prime_UTR_variant&NMD_transcript_variant&coding_sequence_variant,del,-2,1,1,0,0,1,9.75e-01
non_coding_transcript_exon_variant&splice_donor_variant,ins,+2,1,1,0,0,1,9.75e-01
5_prime_UTR_variant&splice_donor_variant,del,-3,1,1,0,1,0,9.75e-01
NMD_transcript_variant&intron_variant&splice_region_variant,del,-3,1,1,0,1,0,9.75e-01
frameshift_variant&start_lost,del,-11..50,1,1,0,0,1,9.75e-01
